businessCategory,carLicense,cn                                           ,departmentNumber,description,destinationIndicator,displayName                             ,distinguishedName                                                                                         ,employeeNumber,employeeType,facsimileTelephoneNumber,givenName           ,homePhone ,homePostalAddress,initials,internationaliSDNNumber,l       ,mail                                             ,manager                                                                                      ,mobile           ,o,ou,pager,physicalDeliveryOfficeName,postOfficeBox   ,postalAddress,postalCode,preferredDeliveryMethod,preferredLanguage,registeredAddress,roomNumber,secretary,seeAlso,sn                 ,st                           ,street                      ,telephoneNumber   ,teletexTerminalIdentifier,telexNumber,title                                     ,uid,objectClass         ,memberOf                                                                                              ,objectSid                                      ,objectguid                            ,sAMAccountName      ,primaryGroupID,primaryGroupDN,accountFlags          ,department                                  ,msNPCallingStationID,msRADIUSFramedRoute,msNPAllowDialin,msRADIUSCallbackNumber,msRADIUSFramedIPAddress,mailNickname,homeMDB,msExchHideFromAddressLists,msRTCSIP-UserEnabled,SipAddress,RegistrarPool,LyncPinSet,LyncPinLockedOut,pwdLastSet        ,msDS-PrincipalName             ,userPrincipalName                                ,company                       ,accountExpires          ,c ,co         ,ProxyAddresses                                                                                                                       ,streetAddress               ,name
                ,          ,Mathieu MONTAVON                             ,                ,           ,                    ,Mathieu MONTAVON                        ,"CN=Mathieu MONTAVON,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                             ,              ,            ,                        ,Mathieu             ,          ,                 ,        ,                       ,        ,mathieu.montavon@olimpico.biz                    ,                                                                                             ,                 , ,  ,     ,                          ,                ,             ,          ,                       ,en-GB            ,                 ,          ,         ,       ,MONTAVON           ,                             ,                            ,                  ,                         ,           ,Stagiaire                                 ,   ,User                ,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9657 ,{f878c0e4-d02a-4a5e-b033-4681487bf476},MMMM                ,513           ,              ,Normal User Account   ,Département Culture et Patrimoine           ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,131959294964034886,IOCDWTEST2\MMMM                ,mathieu.montavon@olimpico.biz                    ,FO Culture & Patrimoine       ,never                   ,  ,           ,SMTP:mathieu.montavon@olimpico.biz                                                                                                   ,                            ,Mathieu MONTAVON
                ,          ,Colin Olivier ERARD                          ,                ,           ,                    ,Colin Olivier ERARD                     ,"CN=Colin Olivier ERARD,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                          ,              ,            ,                        ,Colin Olivier       ,          ,                 ,        ,                       ,        ,colin_olivier.erard@olimpico.biz                 ,                                                                                             ,                 , ,  ,     ,                          ,                ,             ,          ,                       ,en-GB            ,                 ,          ,         ,       ,ERARD              ,                             ,                            ,                  ,                         ,           ,Stagiaire                                 ,   ,top                 ,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9638 ,{c19bba2b-917d-4f98-8c18-624e48d6c6e7},CCOE                ,513           ,              ,Normal User Account   ,Département des Jeux Olympiques             ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,131959294530964125,IOCDWTEST2\CCOE                ,colin_olivier.erard@olimpico.biz                 ,COMITE INTERNATIONAL OLYMPIQUE,never                   ,  ,           ,SMTP:colin_olivier.erard@olimpico.biz                                                                                                ,                            ,Colin Olivier ERARD
                ,          ,Colin Olivier ERARD                          ,                ,           ,                    ,Colin Olivier ERARD                     ,"CN=Colin Olivier ERARD,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                          ,              ,            ,                        ,Colin Olivier       ,          ,                 ,        ,                       ,        ,colin_olivier.erard@olimpico.biz                 ,                                                                                             ,                 , ,  ,     ,                          ,                ,             ,          ,                       ,en-GB            ,                 ,          ,         ,       ,ERARD              ,                             ,                            ,                  ,                         ,           ,Stagiaire                                 ,   ,person              ,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9638 ,{c19bba2b-917d-4f98-8c18-624e48d6c6e7},CCOE                ,513           ,              ,Normal User Account   ,Département des Jeux Olympiques             ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,131959294530964125,IOCDWTEST2\CCOE                ,colin_olivier.erard@olimpico.biz                 ,COMITE INTERNATIONAL OLYMPIQUE,never                   ,  ,           ,SMTP:colin_olivier.erard@olimpico.biz                                                                                                ,                            ,Colin Olivier ERARD
                ,          ,Colin Olivier ERARD                          ,                ,           ,                    ,Colin Olivier ERARD                     ,"CN=Colin Olivier ERARD,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                          ,              ,            ,                        ,Colin Olivier       ,          ,                 ,        ,                       ,        ,colin_olivier.erard@olimpico.biz                 ,                                                                                             ,                 , ,  ,     ,                          ,                ,             ,          ,                       ,en-GB            ,                 ,          ,         ,       ,ERARD              ,                             ,                            ,                  ,                         ,           ,Stagiaire                                 ,   ,organizationalPerson,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9638 ,{c19bba2b-917d-4f98-8c18-624e48d6c6e7},CCOE                ,513           ,              ,Normal User Account   ,Département des Jeux Olympiques             ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,131959294530964125,IOCDWTEST2\CCOE                ,colin_olivier.erard@olimpico.biz                 ,COMITE INTERNATIONAL OLYMPIQUE,never                   ,  ,           ,SMTP:colin_olivier.erard@olimpico.biz                                                                                                ,                            ,Colin Olivier ERARD
                ,          ,Colin Olivier ERARD                          ,                ,           ,                    ,Colin Olivier ERARD                     ,"CN=Colin Olivier ERARD,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                          ,              ,            ,                        ,Colin Olivier       ,          ,                 ,        ,                       ,        ,colin_olivier.erard@olimpico.biz                 ,                                                                                             ,                 , ,  ,     ,                          ,                ,             ,          ,                       ,en-GB            ,                 ,          ,         ,       ,ERARD              ,                             ,                            ,                  ,                         ,           ,Stagiaire                                 ,   ,User                ,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9638 ,{c19bba2b-917d-4f98-8c18-624e48d6c6e7},CCOE                ,513           ,              ,Normal User Account   ,Département des Jeux Olympiques             ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,131959294530964125,IOCDWTEST2\CCOE                ,colin_olivier.erard@olimpico.biz                 ,COMITE INTERNATIONAL OLYMPIQUE,never                   ,  ,           ,SMTP:colin_olivier.erard@olimpico.biz                                                                                                ,                            ,Colin Olivier ERARD
                ,          ,Jonas BRUN                                   ,                ,           ,                    ,Jonas BRUN                              ,"CN=Jonas BRUN,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                                   ,              ,            ,                        ,Jonas               ,          ,                 ,        ,                       ,        ,jonas.brun@olimpico.biz                          ,                                                                                             ,                 , ,  ,     ,                          ,                ,             ,          ,                       ,en-GB            ,                 ,          ,         ,       ,BRUN               ,                             ,                            ,                  ,                         ,           ,Coordinateur/trice de projets - CDM       ,   ,top                 ,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9651 ,{3b6c7c42-b1c2-4262-a446-3bae62a33e74},CJBR                ,513           ,              ,Normal User Account   ,Département des relations avec les C        ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,131993813272836924,IOCDWTEST2\CJBR                ,jonas.brun@olimpico.biz                          ,COMITE INTERNATIONAL OLYMPIQUE,never                   ,  ,           ,SMTP:jonas.brun@olimpico.biz                                                                                                         ,                            ,Jonas BRUN
                ,          ,Jonas BRUN                                   ,                ,           ,                    ,Jonas BRUN                              ,"CN=Jonas BRUN,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                                   ,              ,            ,                        ,Jonas               ,          ,                 ,        ,                       ,        ,jonas.brun@olimpico.biz                          ,                                                                                             ,                 , ,  ,     ,                          ,                ,             ,          ,                       ,en-GB            ,                 ,          ,         ,       ,BRUN               ,                             ,                            ,                  ,                         ,           ,Coordinateur/trice de projets - CDM       ,   ,person              ,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9651 ,{3b6c7c42-b1c2-4262-a446-3bae62a33e74},CJBR                ,513           ,              ,Normal User Account   ,Département des relations avec les C        ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,131993813272836924,IOCDWTEST2\CJBR                ,jonas.brun@olimpico.biz                          ,COMITE INTERNATIONAL OLYMPIQUE,never                   ,  ,           ,SMTP:jonas.brun@olimpico.biz                                                                                                         ,                            ,Jonas BRUN
                ,          ,Jonas BRUN                                   ,                ,           ,                    ,Jonas BRUN                              ,"CN=Jonas BRUN,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                                   ,              ,            ,                        ,Jonas               ,          ,                 ,        ,                       ,        ,jonas.brun@olimpico.biz                          ,                                                                                             ,                 , ,  ,     ,                          ,                ,             ,          ,                       ,en-GB            ,                 ,          ,         ,       ,BRUN               ,                             ,                            ,                  ,                         ,           ,Coordinateur/trice de projets - CDM       ,   ,organizationalPerson,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9651 ,{3b6c7c42-b1c2-4262-a446-3bae62a33e74},CJBR                ,513           ,              ,Normal User Account   ,Département des relations avec les C        ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,131993813272836924,IOCDWTEST2\CJBR                ,jonas.brun@olimpico.biz                          ,COMITE INTERNATIONAL OLYMPIQUE,never                   ,  ,           ,SMTP:jonas.brun@olimpico.biz                                                                                                         ,                            ,Jonas BRUN
                ,          ,Jonas BRUN                                   ,                ,           ,                    ,Jonas BRUN                              ,"CN=Jonas BRUN,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                                   ,              ,            ,                        ,Jonas               ,          ,                 ,        ,                       ,        ,jonas.brun@olimpico.biz                          ,                                                                                             ,                 , ,  ,     ,                          ,                ,             ,          ,                       ,en-GB            ,                 ,          ,         ,       ,BRUN               ,                             ,                            ,                  ,                         ,           ,Coordinateur/trice de projets - CDM       ,   ,User                ,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9651 ,{3b6c7c42-b1c2-4262-a446-3bae62a33e74},CJBR                ,513           ,              ,Normal User Account   ,Département des relations avec les C        ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,131993813272836924,IOCDWTEST2\CJBR                ,jonas.brun@olimpico.biz                          ,COMITE INTERNATIONAL OLYMPIQUE,never                   ,  ,           ,SMTP:jonas.brun@olimpico.biz                                                                                                         ,                            ,Jonas BRUN
                ,          ,Ugo TRÖNLI                                   ,                ,           ,                    ,Ugo TRONLI                              ,"CN=Ugo TRÖNLI,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                                   ,              ,            ,                        ,Ugo                 ,          ,                 ,        ,                       ,        ,ugo.tronli@olimpico.biz                          ,                                                                                             ,                 , ,  ,     ,                          ,                ,             ,          ,                       ,en-GB            ,                 ,          ,         ,       ,TRÖNLI             ,                             ,                            ,                  ,                         ,           ,Stagiaire RH                              ,   ,top                 ,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9674 ,{4b2fd6d9-e1c6-42c8-9e16-46e5132b8e3d},CUTL                ,513           ,              ,Normal User Account   ,Département de la direction générale        ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,131959295253272599,IOCDWTEST2\CUTL                ,ugo.tronli@olimpico.biz                          ,COMITE INTERNATIONAL OLYMPIQUE,never                   ,  ,           ,SMTP:ugo.tronli@olimpico.biz                                                                                                         ,                            ,Ugo TRÖNLI
                ,          ,Ugo TRÖNLI                                   ,                ,           ,                    ,Ugo TRONLI                              ,"CN=Ugo TRÖNLI,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                                   ,              ,            ,                        ,Ugo                 ,          ,                 ,        ,                       ,        ,ugo.tronli@olimpico.biz                          ,                                                                                             ,                 , ,  ,     ,                          ,                ,             ,          ,                       ,en-GB            ,                 ,          ,         ,       ,TRÖNLI             ,                             ,                            ,                  ,                         ,           ,Stagiaire RH                              ,   ,person              ,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9674 ,{4b2fd6d9-e1c6-42c8-9e16-46e5132b8e3d},CUTL                ,513           ,              ,Normal User Account   ,Département de la direction générale        ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,131959295253272599,IOCDWTEST2\CUTL                ,ugo.tronli@olimpico.biz                          ,COMITE INTERNATIONAL OLYMPIQUE,never                   ,  ,           ,SMTP:ugo.tronli@olimpico.biz                                                                                                         ,                            ,Ugo TRÖNLI
                ,          ,Ugo TRÖNLI                                   ,                ,           ,                    ,Ugo TRONLI                              ,"CN=Ugo TRÖNLI,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                                   ,              ,            ,                        ,Ugo                 ,          ,                 ,        ,                       ,        ,ugo.tronli@olimpico.biz                          ,                                                                                             ,                 , ,  ,     ,                          ,                ,             ,          ,                       ,en-GB            ,                 ,          ,         ,       ,TRÖNLI             ,                             ,                            ,                  ,                         ,           ,Stagiaire RH                              ,   ,organizationalPerson,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9674 ,{4b2fd6d9-e1c6-42c8-9e16-46e5132b8e3d},CUTL                ,513           ,              ,Normal User Account   ,Département de la direction générale        ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,131959295253272599,IOCDWTEST2\CUTL                ,ugo.tronli@olimpico.biz                          ,COMITE INTERNATIONAL OLYMPIQUE,never                   ,  ,           ,SMTP:ugo.tronli@olimpico.biz                                                                                                         ,                            ,Ugo TRÖNLI
